序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
82,603993,洛阳钼业,18.07,-4.79,A股,洛阳钼业,70.08亿,有色金属-工业金属-铜,有色金属-工业金属-铜,镍矿、周期股、上证180_、贬值受益、金属钴、标准普尔、宁德时代概念、黄金开采、HS300_、盐湖提锂、磷化工、小金属概念、钴矿、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、权重股、稀缺资源、融资融券、沪股通、大盘股、金属镍、铜矿、上证50_、金属钨,-0.910,18.48,17.93,2.22,0.79,3.87亿,12.45,4.6720,3865.95亿,3155.17亿
83,002851,麦格米特,171.98,0.98,A股,麦格米特,70.08亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,国产芯片、中盘股、HVDC供电、高压快充、新能源车、车联网、第三代半导体、标准普尔、深圳特区、深成500、柔性屏、新型工业化、先进制造风格、小米概念、长安汽车概念、趋势股、储能概念、智能家居、中国AI 50、超级电容、富时罗素、MSCI中国、机器人概念、融资融券、医疗器械概念、充电桩、深股通、中盘成长、2025年报预减、中证500、碳化硅、数据中心、英伟达概念、光伏概念、玻璃基板、一带一路、智能电网、高端装备、高铁、风能,1.670,174.50,166.11,8.98,1.06,4115.45万,218.10,11.1505,1000.56亿,788.10亿
84,603005,晶方科技,50.00,0.75,A股,晶方科技,69.04亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、5G概念、昨日高振幅、贬值受益、3D摄像头、新能源车、第三代半导体、氮化镓、华为概念、通信技术、东方财富热股、昨日高换手、趋势股、消费电子概念、高带宽内存、光刻机/胶、百日新高 、2025年报预增、融资融券、近期新高、虚拟现实、上证380、沪股通、半导体概念、先进封装、小盘股、玻璃基板、生物识别、增强现实、汽车芯片、小盘成长、传感器、长江三角、汽车电子,0.370,52.00,48.65,21.03,1.37,1.37亿,124.58,6.9971,326.09亿,326.09亿
85,688126,沪硅产业,33.31,2.27,A股,沪硅产业,68.75亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、融资融券、上证180_、国家大基金持股、贬值受益、沪股通、半导体概念、存储芯片、大盘股、趋势股、HS300_、中芯概念、科技风格、半导体硅片、MSCI中国,0.740,34.18,31.69,7.30,0.98,2.07亿,-56.97,6.5401,1100.90亿,946.70亿
86,601208,东材科技,77.58,4.06,A股,东材科技,68.70亿,基础化工-塑料-膜材料,基础化工-塑料-膜材料,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、新能源车、燃料电池概念、柔性屏、通信技术、电池技术、趋势股、消费电子概念、光刻机/胶、OLED、2025年报预增、MLCC、树脂、电网概念、军工、BC电池、6G概念、融资融券、中盘成长、沪股通、商业航天、半导体概念、特高压、苹果概念、PET铜箔、PCB、光伏概念、氢能源、股权激励,3.030,80.00,72.25,8.90,0.99,8989.05万,104.87,12.8732,783.70亿,783.70亿
87,688403,汇成股份,41.30,14.09,A股,汇成股份,68.40亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、专精特新、融资融券、昨日高振幅、近期新高、昨日首板、贬值受益、沪股通、半导体概念、存储芯片、先进封装、最近多板、小盘股、趋势股、历史新高 、百日新高 、OLED、汽车芯片、小盘成长、先进封装设备,5.100,43.30,39.00,16.68,1.82,1.65亿,-798.76,9.2649,409.26亿,409.26亿
88,600172,黄河旋风,18.27,6.84,A股,黄河旋风,68.12亿,机械设备-通用设备-磨具磨料,机械设备-通用设备-磨具磨料,题材股、培育钻石、融资融券、昨日高振幅、近期新高、第三代半导体、沪股通、旅游概念、标准普尔、节能环保、最近多板、东方财富热股、昨日高换手、新材料、历史新高 、超硬材料、央国企改革、百日新高 ,1.170,18.81,15.60,31.46,1.38,4.01亿,-68.24,56.8313,263.49亿,233.17亿
89,300757,罗博特科,647.00,7.39,A股,罗博特科,67.38亿,机械设备-自动化设备-其他自动化设备,机械设备-自动化设备-其他自动化设备,国产芯片、专精特新、中盘股、光通信模块、新能源车、工业互联、深成500、新型工业化、先进制造风格、TOPCON电池、华为概念、通信技术、边缘计算、CPO概念、富士康概念、MSCI中国、量子科技、BC电池、华为海思、融资融券、深股通、卫星通信、中盘成长、中证500、商业航天、半导体概念、苹果概念、数据中心、英伟达概念、光伏概念、HJT电池、光纤概念、创业板综、高端装备,44.500,673.65,596.48,6.45,1.16,1048.62万,-698.40,66.7072,1084.42亿,1051.81亿
90,688820,盛合晶微,210.50,-1.63,A股,盛合晶微,66.38亿,电子-半导体-集成电路封测,电子-半导体-集成电路制造,国产芯片、融资融券、注册制次新股、半导体概念、次新股、存储芯片、先进封装,-3.480,222.22,205.88,17.95,1.05,3103.49万,512.36,20.3792,3921.14亿,363.96亿
91,300390,天华新能,94.98,-3.90,A股,天华新能,65.24亿,电力设备-电池-电池化学品,电力设备-电池-电池化学品,国产芯片、中盘股、昨日高振幅、新能源车、深成500、存储芯片、宁德时代概念、先进制造风格、华为概念、电池技术、固态电池、储能概念、中芯概念、2026一季报预增、独角兽、小金属概念、富时罗素、MSCI中国、中盘价值、医疗器械概念、融资融券、深股通、2025年报预减、中证500、半导体概念、反内卷概念、硫化物、锂电池概念、创业板综、锂矿概念、富锂锰基,-3.850,100.98,94.58,10.01,1.01,6728.95万,20.36,6.3935,789.05亿,638.52亿
92,688048,长光华芯,441.80,5.19,A股,长光华芯,65.05亿,电子-半导体-分立器件,电子-半导体-分立器件,国产芯片、光芯片、激光雷达、专精特新、中盘股、融资融券、2025年报扭亏、医美概念、光通信模块、中盘成长、第三代半导体、商业航天、沪股通、半导体概念、华为概念、数据中心、通信技术、可控核聚变、光纤概念、CPO概念、无人驾驶、汽车芯片、MSCI中国,21.800,450.99,414.00,8.47,1.00,1492.41万,4346.36,25.8422,778.80亿,778.80亿
93,600909,华安证券,12.05,4.69,A股,华安证券,64.54亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,题材股、中盘股、融资融券、昨日高振幅、参股期货、近期新高、昨日首板、上证380、中证500、沪股通、券商概念、标准普尔、最近多板、东方财富热股、趋势股、互联网金融、央国企改革、百日新高 、富时罗素、金融地产风格、MSCI中国、安徽三资改革,0.540,12.65,11.27,10.96,1.46,5.51亿,34.93,2.2950,605.42亿,605.42亿
94,300620,光库科技,395.46,-2.60,A股,光库科技,64.54亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、粤港澳大湾区、中盘股、5G概念、海工装备、OCS交换机、光通信模块、3D打印、深成500、通信技术、趋势股、2025三季报预增、2026一季报预增、央国企改革、百日新高 、CPO概念、横琴新区、无人驾驶、量子通信、科技风格、2025年报预增、海底电缆、MSCI中国、量子科技、卫星互联网、激光雷达、融资融券、深股通、近期新高、中盘成长、中证500、商业航天、MPO连接器、数据中心、历史新高 、卫星导航、光纤概念、一带一路、创业板综、海洋经济、股权激励,-10.540,397.94,378.00,6.70,1.09,1656.22万,550.68,45.7298,985.41亿,977.19亿
95,688072,拓荆科技,823.00,0.37,A股,拓荆科技,64.04亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、昨日高振幅、近期新高、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、先进封装、HS300_、大盘成长、中芯概念、历史新高 、高带宽内存、百日新高 、科技风格、先进封装设备、MSCI中国,3.000,861.08,799.99,2.73,0.82,771.67万,101.93,32.4140,2326.56亿,2326.56亿
96,600497,驰宏锌锗,12.31,1.74,A股,驰宏锌锗,62.09亿,有色金属-工业金属-铅锌,有色金属-工业金属-铅锌,军工、题材股、锌矿、中盘股、稀缺资源、融资融券、西部大开发、昨日高振幅、铅矿、上证380、中证500、沪股通、金属回收、最近多板、东方财富热股、金属锌、新材料、光纤概念、央国企改革、金属铅、小金属概念、MSCI中国、黄金概念,0.210,12.78,12.00,9.95,1.38,5.02亿,23.44,3.6850,620.47亿,620.47亿
97,688110,东芯股份,179.45,4.50,A股,东芯股份,60.99亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、安防概念、专精特新、中盘股、融资融券、5G概念、AIPC、近期新高、车联网、盛合晶微、沪股通、半导体概念、存储芯片、GPU、消费电子概念、智能穿戴、历史新高 、百日新高 、汽车芯片、MSCI中国、DRAM存储,7.720,186.88,170.73,7.68,1.16,3398.82万,143.52,22.0884,793.85亿,793.85亿
98,002916,深南电路,455.00,5.35,A股,深南电路,60.68亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、深证100R、国家大基金持股、新能源车、存储芯片、标准普尔、深圳特区、深成500、华为概念、通信技术、HS300_、大盘成长、央国企改革、科技风格、富时罗素、富士康概念、2025年报预增、MSCI中国、融资融券、深股通、养老金、大盘股、苹果概念、先进封装、PCB、数据中心、中特估、服务器PCB、汽车电子、通信PCB,23.100,459.90,425.19,2.04,0.87,1357.73万,91.13,18.8343,3099.31亿,3024.88亿
99,601318,中国平安,49.30,0.37,A股,中国平安,59.96亿,非银金融-保险Ⅱ-保险Ⅲ,非银金融-保险Ⅱ-保险Ⅲ,区块链、周期股、上证180_、证金持股、互联网保险、标准普尔、深圳特区、红利破净股、HS300_、互联网金融、独角兽、央视50_、富时罗素、金融地产风格、MSCI中国、互联医疗、红利股、权重股、融资融券、家庭医生、沪股通、参股券商、大盘股、养老概念、IPO受益、上证50_、大盘价值、智能医疗、参股银行,0.180,50.46,48.56,1.14,0.88,1.21亿,8.92,0.9048,8927.07亿,5255.41亿
100,600392,盛和资源,32.20,1.90,A股,盛和资源,59.36亿,有色金属-小金属-稀土,有色金属-小金属-稀土,稀土永磁、中盘股、融资融券、西部大开发、昨日高振幅、中盘成长、上证380、中证500、参股保险、沪股通、标准普尔、苹果概念、冶炼分离、2025三季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国,0.600,33.10,30.21,10.53,0.73,1.85亿,43.11,4.3858,564.41亿,564.41亿
