序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
82,600118,中国卫星,77.77,10.00,A股,67.26亿,国防军工-航天装备Ⅱ-航天装备Ⅲ,中国卫星,国防军工-航天装备Ⅱ-航天装备Ⅲ,北斗导航、国产芯片、昨日高振幅、航天航空、上证180_、水利建设、标准普尔、先进制造风格、军民融合、最近多板、东方财富热股、HS300_、机载设备、京津冀一体化、央国企改革、人工智能、中字头、富时罗素、航母概念、MSCI中国、卫星互联网、军工、大飞机、6G概念、低空经济、融资融券、昨日首板、卫星通信、无人机、商业航天、沪股通、大盘股、卫星导航、一带一路、中特估、高端装备、时空大数据、智能医疗、空间站概念,7.070,77.77,68.68,7.62,2.17,9015.79万,-538.54,14.5396,919.62亿,919.62亿
83,002491,通鼎互联,36.15,-6.10,A股,67.13亿,通信-通信设备-通信线缆及配套,通鼎互联,通信-通信设备-通信线缆及配套,题材股、光纤光缆、数据安全、专精特新、5G概念、融资融券、数字水印、昨日高振幅、北交所概念、深股通、光通信模块、标准普尔、网络安全、通信技术、数据中心、小盘股、昨日高换手、趋势股、固态电池、光纤概念、独角兽、富时罗素、长江三角、大数据,-2.350,38.11,34.65,15.88,1.23,1.87亿,216.80,17.6423,444.64亿,425.29亿
84,300398,飞凯材料,61.29,8.17,A股,67.05亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,飞凯材料,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、专精特新、电子纸概念、IGBT概念、昨日高振幅、光通信模块、新能源车、第三代半导体、参股新三板、存储芯片、通信技术、东方财富热股、昨日高换手、趋势股、中芯概念、高带宽内存、光刻机/胶、百日新高 、OLED、富时罗素、2025年报预增、光引发剂、题材股、6G概念、融资融券、深股通、近期新高、半导体概念、先进封装、小盘股、光伏概念、新材料、历史新高 、光纤概念、创业板综、小盘成长,4.630,63.95,55.62,20.04,1.30,1.14亿,66.57,6.8903,349.37亿,347.48亿
85,300033,同花顺,242.00,-6.56,A股,66.93亿,计算机-软件开发-垂直应用软件,同花顺,计算机-软件开发-垂直应用软件,区块链、多模态AI、鸿蒙概念、深证100R、证金持股、深成500、AI智能体、HS300_、大盘成长、互联网金融、AI应用、人工智能、科技风格、富时罗素、2025年报预增、AI语料、MSCI中国、云计算、数据要素、融资融券、行业龙头、深股通、虚拟机器人、AIGC概念、ChatGPT概念、券商概念、大盘股、国产软件、创业板综、智能医疗、长江三角、大数据,-17.000,259.47,241.26,6.14,0.83,2692.82万,177.91,42.8779,1821.39亿,1060.95亿
86,688072,拓荆科技,832.00,1.09,A股,66.91亿,电子-半导体-半导体设备,拓荆科技,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、先进封装、HS300_、大盘成长、中芯概念、高带宽内存、科技风格、先进封装设备、MSCI中国,9.000,865.00,790.00,2.84,0.93,802.45万,103.05,32.7685,2352.01亿,2352.01亿
87,002409,雅克科技,188.60,4.18,A股,66.81亿,电子-半导体-半导体材料,雅克科技,电子-半导体-半导体材料,国产芯片、专精特新、中盘股、海工装备、昨日高振幅、国家大基金持股、存储芯片、标准普尔、深成500、东方财富热股、中芯概念、高带宽内存、光刻机/胶、百日新高 、磷化工、OLED、富时罗素、电子特气、天然气、MSCI中国、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、特高压、先进封装、氟化工概念、历史新高 、工业气体,7.570,195.20,178.20,11.18,1.02,3559.78万,84.14,11.2854,897.60亿,600.73亿
88,688766,普冉股份,727.01,-3.60,A股,66.51亿,电子-半导体-数字芯片设计,普冉股份,电子-半导体-数字芯片设计,国产芯片、中盘股、融资融券、中盘成长、沪股通、半导体概念、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、智能家居、科技风格、汽车芯片、MCU芯片、物联网、无线耳机、汽车电子,-27.140,794.15,719.71,5.96,0.95,886.72万,107.63,40.1197,1081.09亿,1081.09亿
89,002600,领益智造,16.41,-8.22,A股,65.90亿,电子-消费电子-消费电子零部件及组装,领益智造,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、智能穿戴、太空算力、碳纤维、富时罗素、无线充电、机器人概念、稀土永磁、融资融券、低空经济、液冷概念、无人机、商业航天、苹果概念、智能音箱、英伟达概念、光伏概念、AI手机代工、无线耳机、5G概念、昨日高振幅、磁材加工、新能源车、灵巧手、标准普尔、柔性屏、华为概念、小米概念、消费电子概念、HS300_、2025三季报预增、CPO概念、人工智能、混合现实、科技风格、富士康概念、MSCI中国、AI手机、激光雷达、AI眼镜、深股通、充电桩、虚拟现实、大盘股、新材料、人形机器人、比亚迪概念、增强现实、海峡两岸、光伏逆变器、减速器,-1.470,17.85,16.36,5.40,1.10,3.89亿,85.06,5.4953,1332.49亿,1181.47亿
90,002484,江海股份,109.00,-1.82,A股,64.71亿,电子-元件-被动元件,江海股份,电子-元件-被动元件,中盘股、5G概念、东数西算、昨日高振幅、新能源车、深成500、华为概念、最近多板、通信技术、趋势股、央国企改革、超级电容、科技风格、电源电缆、富时罗素、机器人概念、军工、融资融券、深股通、中盘成长、被动元件概念、可控核聚变、人形机器人、ETC、石墨烯,-2.020,115.44,107.66,7.11,1.16,5834.37万,143.06,14.9367,927.07亿,894.31亿
91,603005,晶方科技,52.31,4.62,A股,63.47亿,电子-半导体-集成电路封测,晶方科技,电子-半导体-集成电路封测,国产芯片、5G概念、昨日高振幅、贬值受益、3D摄像头、新能源车、第三代半导体、氮化镓、华为概念、通信技术、东方财富热股、昨日高换手、趋势股、消费电子概念、高带宽内存、光刻机/胶、百日新高 、2025年报预增、融资融券、近期新高、虚拟现实、上证380、沪股通、半导体概念、先进封装、小盘股、玻璃基板、生物识别、增强现实、汽车芯片、小盘成长、传感器、长江三角、汽车电子,2.310,52.77,48.88,18.91,1.09,1.23亿,130.34,7.3204,341.15亿,341.15亿
92,002837,英维克,82.57,-5.08,A股,63.35亿,机械设备-专用设备-其他专用设备,英维克,机械设备-专用设备-其他专用设备,粤港澳大湾区、5G概念、东数西算、深证100R、新能源车、抖音概念、深圳特区、深成500、先进制造风格、华为概念、通信技术、HS300_、大盘成长、UQD连接器、腾讯概念、储能概念、CDU、中国AI 50、MSCI中国、阿里概念、军工、融资融券、液冷概念、充电桩、深股通、字节系算力、大盘股、数据中心、英伟达概念、比亚迪概念、腾讯云、高铁、冷链物流,-4.420,85.58,81.00,6.73,0.78,7607.26万,3038.46,31.8901,1052.23亿,933.42亿
93,688313,仕佳光子,179.70,-10.12,A股,63.24亿,通信-通信设备-通信网络设备及器件,仕佳光子,通信-通信设备-通信网络设备及器件,国产芯片、激光雷达、光纤光缆、光芯片、中盘股、专精特新、5G概念、融资融券、光通信模块、中盘成长、上证380、中证500、F5G概念、沪股通、MPO连接器、数据中心、通信技术、光纤概念、CPO概念、科技风格、2025年报预增、MSCI中国,-20.240,194.00,173.50,7.61,0.99,3439.35万,174.78,53.3345,812.22亿,812.22亿
94,600909,华安证券,12.14,0.75,A股,62.49亿,非银金融-证券Ⅱ-证券Ⅲ,华安证券,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、昨日高振幅、参股期货、上证380、中证500、沪股通、券商概念、标准普尔、东方财富热股、趋势股、互联网金融、央国企改革、富时罗素、金融地产风格、MSCI中国、安徽三资改革,0.090,12.91,11.91,10.07,1.17,5.06亿,35.19,2.3121,609.94亿,609.94亿
95,688797,C臻宝,545.07,-5.11,A股,61.44亿,电子-半导体-半导体材料,臻宝科技,电子-半导体-半导体材料,国产芯片、专精特新、融资融券、西部大开发、国家大基金持股、高端装备、OLED、注册制次新股、半导体概念、存储芯片、次新股、先进封装,-29.370,592.00,521.12,37.77,0.57,1102.48万,414.71,29.5131,846.44亿,159.12亿
96,300390,天华新能,86.19,-9.25,A股,61.23亿,电力设备-电池-电池化学品,天华新能,电力设备-电池-电池化学品,国产芯片、中盘股、昨日高振幅、新能源车、深成500、存储芯片、宁德时代概念、先进制造风格、华为概念、电池技术、固态电池、储能概念、中芯概念、2026一季报预增、独角兽、小金属概念、富时罗素、MSCI中国、中盘价值、医疗器械概念、融资融券、深股通、2025年报预减、中证500、半导体概念、反内卷概念、硫化物、锂电池概念、创业板综、锂矿概念、富锂锰基,-8.790,97.35,85.92,10.07,0.99,6768.21万,18.48,5.8018,716.02亿,579.43亿
97,000066,中国长城,18.57,-9.28,A股,61.19亿,计算机-计算机设备-其他计算机设备,中国长城,计算机-计算机设备-其他计算机设备,国产芯片、钠离子电池、中盘股、区块链、海工装备、数字经济、AIPC、CPU、深圳特区、深成500、交换机、中国AI 50、国产操作系统、中字头、富时罗素、互联医疗、华为鲲鹏、军工、融资融券、液冷概念、商业航天、网络安全、华为系算力、数据中心、卫星导航、智能电网、大数据、北斗导航、数据中心液冷、粤港澳大湾区、5G概念、东数西算、昨日高振幅、车联网、标准普尔、华为概念、军民融合、通信技术、电池技术、消费电子概念、信创、央国企改革、百度概念、DeepSeek概念、人工智能、MSCI中国、量子科技、数据安全、充电桩、深股通、智慧城市、参股券商、锂电池概念、中特估、汽车电子,-1.900,20.23,18.52,9.85,1.01,3.18亿,-179.10,5.4796,599.03亿,598.98亿
98,002709,天赐材料,50.01,-9.40,A股,60.39亿,电力设备-电池-电池化学品,天赐材料,电力设备-电池-电池化学品,钠离子电池、六氟磷酸锂、周期股、深证100R、昨日高振幅、新能源车、标准普尔、深成500、宁德时代概念、先进制造风格、电池技术、HS300_、固态电池、富时罗素、2025年报预增、PEEK材料概念、MSCI中国、动力电池回收、融资融券、深股通、大盘股、氟化工概念、氢能源、硫化物、新材料、锂电池概念、比亚迪概念、有机硅概念、大盘价值、氢氟酸、特斯拉概念,-5.190,55.95,49.96,7.56,0.92,1.14亿,15.41,5.5189,1019.48亿,754.66亿
99,603083,剑桥科技,245.92,-5.56,A股,59.84亿,通信-通信设备-通信终端及配件,剑桥科技,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、通信技术、信创、智能家居、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、融资融券、液冷概念、中盘成长、上证380、F5G概念、沪股通、一带一路、股权激励、WiFi6、WiFi,-14.480,259.88,242.50,8.68,0.73,2393.17万,191.33,12.1331,905.60亿,677.73亿
100,300319,麦捷科技,31.00,3.06,A股,59.78亿,电子-元件-被动元件,麦捷科技,电子-元件-被动元件,国产芯片、粤港澳大湾区、5G概念、东数西算、新能源车、深圳特区、存储芯片、华为概念、小米概念、通信技术、昨日高换手、趋势股、智能穿戴、消费电子概念、深圳国企改革、央国企改革、CPO概念、摩尔链、富时罗素、物联网、阿里概念、机器人概念、融资融券、AI眼镜、充电桩、深股通、算力概念、无人机、被动元件概念、小盘股、英伟达概念、人形机器人、比亚迪概念、创业板综、小盘成长、汽车电子,0.920,33.30,30.59,21.92,0.93,1.87亿,145.90,5.6910,275.15亿,263.89亿
