序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
84,300136,信维通信,96.29,-3.43,A股,32.11亿,电子-消费电子-消费电子零部件及组装,信维通信,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、东方财富热股、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、5G概念、昨日高振幅、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、卫星通信、虚拟现实、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,-3.420,100.02,95.33,3.98,2.25,3282.58万,222.06,11.6825,931.67亿,794.59亿
85,688249,晶合集成,58.82,-9.80,A股,31.90亿,电子-半导体-集成电路制造,晶合集成,电子-半导体-集成电路制造,国产芯片、融资融券、上证180_、沪股通、半导体概念、大盘股、趋势股、消费电子概念、大盘成长、MicroLED、央国企改革、科技风格、OLED、MCU芯片、汽车芯片、MSCI中国、量子科技、安徽三资改革、MiniLED,-6.390,65.21,57.20,2.61,3.15,5234.83万,645.50,5.9670,1308.01亿,1180.87亿
86,601899,紫金矿业,27.79,0.62,A股,31.73亿,有色金属-工业金属-铜,紫金矿业,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、2026中报预增、黄金加工、标准普尔、黄金开采、东方财富热股、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,0.170,28.01,27.08,0.56,1.48,1.15亿,9.20,3.9000,7389.56亿,5725.24亿
87,688362,甬矽电子,116.46,1.45,A股,31.63亿,电子-半导体-集成电路封测,甬矽电子,电子-半导体-集成电路封测,国产芯片、专精特新、融资融券、5G概念、昨日高振幅、数字货币、近期新高、沪股通、半导体概念、先进封装、东方财富热股、小盘股、趋势股、消费电子概念、历史新高 、百日新高 、MCU芯片、2025年报预增、小盘成长、传感器、汽车电子,1.660,120.80,112.91,5.99,2.49,2705.80万,493.96,13.9244,525.72亿,525.72亿
88,600498,XD烽火通,57.22,0.74,A股,31.53亿,通信-通信设备-通信网络设备及器件,烽火通信,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,0.420,59.20,56.56,4.29,2.90,5451.38万,506.05,4.4560,777.14亿,727.62亿
89,002436,兴森科技,44.29,-0.36,A股,31.25亿,电子-元件-印制电路板,兴森科技,电子-元件-印制电路板,国产芯片、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、最近多板、通信技术、东方财富热股、互联网金融、高带宽内存、毫米波概念、CPO概念、科技风格、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、昨日首板、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,-0.160,45.97,43.80,4.56,2.52,6927.12万,1004.00,14.2401,752.79亿,672.29亿
90,002049,紫光国微,89.11,2.32,A股,30.86亿,电子-半导体-数字芯片设计,紫光国微,电子-半导体-数字芯片设计,国产芯片、区块链、5G概念、深证100R、IGBT概念、转债标的、车联网、第三代半导体、EDA概念、存储芯片、标准普尔、深成500、AI芯片、通信技术、消费电子概念、智能穿戴、HS300_、高带宽内存、京津冀一体化、CPO概念、人工智能、富时罗素、MCU芯片、物联网、MSCI中国、卫星互联网、军工、大飞机、移动支付、融资融券、数字货币、深股通、算力概念、商业航天、ASIC芯片、半导体概念、大盘股、碳化硅、蓝宝石、卫星导航、ETC、汽车芯片、DRAM存储、汽车电子,2.020,89.20,85.58,4.16,2.91,3537.22万,56.62,5.5409,757.10亿,757.00亿
91,605358,立昂微,66.47,4.23,A股,30.63亿,电子-半导体-半导体材料,立昂微,电子-半导体-半导体材料,国产芯片、光芯片、专精特新、中盘股、5G概念、IGBT概念、昨日高振幅、新能源车、第三代半导体、氮化镓、存储芯片、最近多板、通信技术、东方财富热股、中芯概念、CPO概念、人工智能、无人驾驶、物联网、电网概念、机器人概念、卫星互联网、融资融券、充电桩、昨日首板、中证500、商业航天、沪股通、硅能源、半导体概念、光伏概念、卫星导航、人形机器人、比亚迪概念、智能电网、半导体硅片、汽车芯片、汽车电子,2.700,68.18,64.01,5.96,2.73,4604.82万,1776.15,5.0073,513.28亿,513.28亿
92,600172,黄河旋风,18.72,0.11,A股,30.59亿,机械设备-通用设备-磨具磨料,黄河旋风,机械设备-通用设备-磨具磨料,题材股、培育钻石、融资融券、昨日高振幅、第三代半导体、沪股通、旅游概念、标准普尔、节能环保、小盘价值、东方财富热股、小盘股、昨日高换手、趋势股、新材料、超硬材料、央国企改革,0.020,19.80,18.33,12.61,2.11,1.61亿,-69.92,58.2311,269.98亿,238.92亿
93,688017,XD绿的谐,409.01,0.23,A股,29.64亿,机械设备-自动化设备-机器人,绿的谐波,机械设备-自动化设备-机器人,专精特新、中盘股、医疗器械概念、融资融券、中盘成长、上证380、中证500、沪股通、半导体概念、新型工业化、先进制造风格、新能源、人形机器人、中国AI 50、2025年报预增、减速器、机器人执行器、机器人概念,0.940,422.00,390.99,3.94,1.45,722.70万,574.43,21.2399,749.84亿,749.84亿
94,300433,蓝思科技,45.69,-2.23,A股,29.09亿,电子-消费电子-消费电子零部件及组装,蓝思科技,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,-1.040,47.12,45.22,1.27,1.75,6309.25万,-402.96,4.6033,2411.33亿,2270.16亿
95,688396,华润微,86.31,-6.89,A股,29.06亿,电子-半导体-集成电路制造,华润微,电子-半导体-集成电路制造,国产芯片、IGBT概念、上证180_、国家大基金持股、新能源车、工业互联、第三代半导体、氮化镓、存储芯片、宁德时代概念、小米概念、消费电子概念、HS300_、央国企改革、CPO概念、科技风格、无线充电、MCU芯片、MSCI中国、机器人概念、融资融券、充电桩、沪股通、半导体概念、先进封装、大盘股、碳化硅、数据中心、比亚迪概念、中特估、智能电网、先进封装材料、汽车芯片、传感器、汽车电子,-6.390,94.60,84.08,2.46,3.86,3267.82万,86.85,4.9670,1146.38亿,1146.38亿
96,600150,中国船舶,37.54,4.10,A股,28.95亿,国防军工-航海装备Ⅱ-航海装备Ⅲ,中国船舶,国防军工-航海装备Ⅱ-航海装备Ⅲ,海工装备、上证180_、航运概念、先进制造风格、军民融合、HS300_、大盘成长、2025三季报预增、央国企改革、DeepSeek概念、中字头、2025年报预增、航母概念、MSCI中国、破增发价股、军工、船舶制造、融资融券、行业龙头、沪股通、商业航天、大盘股、IPO受益、上证50_、一带一路、中特估、海洋经济、高端装备、中船系、风能,1.480,37.85,35.73,1.04,2.31,7847.96万,14.62,1.8891,2825.12亿,2825.12亿
97,603005,晶方科技,47.41,4.91,A股,28.68亿,电子-半导体-集成电路封测,晶方科技,电子-半导体-集成电路封测,国产芯片、5G概念、昨日高振幅、贬值受益、3D摄像头、新能源车、第三代半导体、氮化镓、华为概念、最近多板、通信技术、东方财富热股、消费电子概念、高带宽内存、光刻机/胶、2025年报预增、融资融券、昨日首板、虚拟现实、上证380、沪股通、半导体概念、先进封装、小盘股、玻璃基板、生物识别、增强现实、汽车芯片、小盘成长、传感器、长江三角、汽车电子,2.220,49.18,46.48,9.18,3.54,5983.92万,118.13,6.6346,309.19亿,309.19亿
98,301217,铜冠铜箔,140.13,0.32,A股,28.54亿,电力设备-电池-锂电池,铜冠铜箔,电力设备-电池-锂电池,中盘股、融资融券、5G概念、2025年报扭亏、深股通、深成500、PET铜箔、锂电铜箔、宁德时代概念、PCB、先进制造风格、电池技术、固态电池、储能概念、锂电池概念、比亚迪概念、央国企改革、创业板综、固态铜箔、PCB铜箔、安徽三资改革,0.450,146.15,138.88,2.42,2.18,2004.56万,273.09,21.1176,1161.70亿,1161.70亿
99,002414,高德红外,14.64,9.99,A股,27.46亿,国防军工-军工电子Ⅱ-军工电子Ⅲ,高德红外,国防军工-军工电子Ⅱ-军工电子Ⅲ,国产芯片、全息技术、中盘股、鸿蒙概念、车联网、2026中报预增、标准普尔、深成500、先进制造风格、华为概念、军民融合、最近多板、东方财富热股、华为昇腾、智能家居、毫米波概念、人工智能、无人驾驶、富时罗素、MSCI中国、机器人概念、军工、安防概念、医疗器械概念、融资融券、低空经济、华为汽车、2025年报扭亏、深股通、昨日首板、无人机、中证500、商业航天、半导体概念、先进封装、机器视觉、导弹、智能电网、军贸、高端装备、汽车芯片、传感器、汽车电子、湖北自贸,1.330,14.64,14.21,5.53,14.92,1.88亿,42.72,8.4408,625.24亿,497.56亿
100,688432,有研硅,56.51,5.10,A股,27.45亿,电子-半导体-半导体材料,有研硅,电子-半导体-半导体材料,题材股、国产芯片、融资融券、昨日高振幅、近期新高、沪股通、绿色电力、硅能源、半导体概念、存储芯片、最近多板、东方财富热股、小盘股、趋势股、中芯概念、历史新高 、百日新高 、半导体硅片,2.740,58.80,50.02,3.93,2.51,4912.51万,352.01,15.9017,706.55亿,706.55亿
