序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,涨跌幅(%) 2026.06.24,成交额(元) 2026.06.24,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
82,300666,江丰电子,330.00,8.54,A股,江丰电子,3.83,62.10亿,82.90亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、中盘股、融资融券、共同富裕示范区、深股通、中盘成长、中证500、第三代半导体、半导体概念、存储芯片、深成500、华为概念、趋势股、光伏概念、新材料、中芯概念、光刻机/胶、碳纤维、海峡两岸、创业板综、OLED、富时罗素、中韩自贸区,25.960,337.70,304.10,11.57,0.99,2558.54万,108.55,13.0352,910.70亿,729.68亿
83,002167,东方锆业,22.77,6.10,A股,东方锆业,9.99,61.79亿,48.87亿,有色金属-小金属-其他小金属,有色金属-小金属-其他小金属,专精特新、昨日高振幅、最近多板、东方财富热股、昨日高换手、电池技术、趋势股、固态电池、核能核电、百日新高 、小金属概念、牙科医疗、航母概念、题材股、稀土永磁、融资融券、深股通、近期新高、2025年报预减、稀土开采、氢能源、新材料、历史新高 、锂电池概念、昨日打二板以上表现,1.310,23.06,21.41,29.23,2.16,2.22亿,217.82,9.9132,176.39亿,172.76亿
84,300033,同花顺,259.00,7.83,A股,同花顺,-3.69,61.75亿,96.02亿,计算机-软件开发-垂直应用软件,计算机-软件开发-垂直应用软件,区块链、多模态AI、鸿蒙概念、深证100R、证金持股、深成500、AI智能体、HS300_、大盘成长、互联网金融、AI应用、人工智能、科技风格、富时罗素、2025年报预增、AI语料、MSCI中国、云计算、数据要素、融资融券、行业龙头、深股通、虚拟机器人、AIGC概念、ChatGPT概念、券商概念、大盘股、国产软件、创业板综、智能医疗、长江三角、大数据,18.800,265.88,239.30,8.62,1.40,3780.20万,190.41,45.8900,1949.34亿,1135.48亿
85,600111,北方稀土,49.20,-0.06,A股,北方稀土,-1.44,61.62亿,55.47亿,有色金属-小金属-稀土,有色金属-小金属-稀土,专精特新、周期股、西部大开发、上证180_、标准普尔、电池技术、HS300_、2025三季报预增、2026一季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国、军工、稀土永磁、稀缺资源、融资融券、行业龙头、沪股通、金属回收、大盘股、冶炼分离、稀土开采、氢能源、上证50_、新材料、锂电池概念,-0.030,50.28,48.18,3.10,0.62,1.12亿,48.45,7.0823,1778.61亿,1778.61亿
86,000063,中兴通讯,38.44,2.73,A股,中兴通讯,-1.55,61.00亿,89.24亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、多模态AI、区块链、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、智能穿戴、腾讯概念、边缘计算、AI应用、中国AI 50、量子通信、国产操作系统、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、ChatGPT概念、商业航天、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、汽车芯片、智能医疗、无线耳机、粤港澳大湾区、数据中心液冷、5G概念、东数西算、IPv6、通感一体化、证金持股、DPU、新能源车、元宇宙概念、水利建设、车联网、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、空管系统、虚拟现实、智慧城市、大盘股、人形机器人、比亚迪概念、锂电池概念、海峡两岸、太赫兹、汽车电子,1.020,38.80,37.31,5.81,1.12,2.34亿,35.08,2.3978,1838.79亿,1548.22亿
87,688766,普冉股份,754.15,1.91,A股,普冉股份,5.26,60.88亿,73.52亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、中盘股、融资融券、昨日高振幅、近期新高、中盘成长、沪股通、半导体概念、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、历史新高 、智能家居、百日新高 、科技风格、汽车芯片、MCU芯片、物联网、无线耳机、汽车电子,14.150,815.56,733.33,6.44,1.00,957.67万,111.65,41.6174,1121.45亿,1121.45亿
88,002648,卫星化学,25.68,0.08,A股,卫星化学,1.91,60.85亿,52.57亿,基础化工-化学原料-其他化学原料,基础化工-化学原料-其他化学原料,周期股、深证100R、EC溶剂、昨日高振幅、化工原料、标准普尔、深成500、最近多板、电池技术、POE胶膜、HS300_、互联网金融、富时罗素、MSCI中国、婴童概念、环氧丙烷、融资融券、液冷概念、深股通、养老金、大盘股、氢能源、三胎概念、丙烯酸、锂电池概念、煤化工概念、长江三角,0.020,26.91,24.59,6.13,2.43,2.06亿,10.22,2.5615,865.07亿,864.51亿
89,601208,东材科技,77.58,4.06,A股,东材科技,3.76,60.70亿,68.70亿,基础化工-塑料-膜材料,基础化工-塑料-膜材料,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、新能源车、燃料电池概念、柔性屏、通信技术、电池技术、趋势股、消费电子概念、光刻机/胶、OLED、2025年报预增、MLCC、树脂、电网概念、军工、BC电池、6G概念、融资融券、中盘成长、沪股通、商业航天、半导体概念、特高压、苹果概念、PET铜箔、PCB、光伏概念、氢能源、股权激励,3.030,80.00,72.25,8.90,0.99,8989.05万,104.87,12.8732,783.70亿,783.70亿
90,300548,长芯博创,281.90,-0.12,A股,长芯博创,-1.33,60.16亿,53.60亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、专精特新、中盘股、5G概念、光通信模块、抖音概念、深成500、铜缆高速连接、华为概念、通信技术、AEC有源电缆、CPO概念、科技风格、2025年报预增、MSCI中国、机器人概念、融资融券、深股通、中盘成长、中证500、F5G概念、数据中心、机器视觉、光纤概念、创业板综、长江三角,-0.330,290.00,274.59,6.99,0.78,1904.36万,159.65,38.9740,830.63亿,767.79亿
91,300054,鼎龙股份,95.45,-1.29,A股,鼎龙股份,5.91,58.56亿,48.95亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、转债标的、第三代半导体、存储芯片、深成500、柔性屏、中芯概念、2026一季报预增、光刻机/胶、百日新高 、OLED、科技风格、富时罗素、MSCI中国、融资融券、行业龙头、显示技术、深股通、近期新高、中盘成长、中证500、半导体概念、先进封装、历史新高 、锂电池概念、先进封装材料、创业板综,-1.250,97.58,92.42,6.94,0.88,5154.31万,90.60,16.9476,909.50亿,709.14亿
92,300373,扬杰科技,137.45,3.35,A股,扬杰科技,0.02,58.38亿,48.60亿,电子-半导体-分立器件,电子-半导体-分立器件,国产芯片、中盘股、5G概念、IGBT概念、高压快充、新能源车、第三代半导体、氮化镓、深成500、宁德时代概念、华为概念、小米概念、通信技术、趋势股、固态电池、储能概念、中芯概念、富时罗素、MSCI中国、融资融券、低空经济、华为汽车、AI眼镜、充电桩、深股通、无人机、中盘成长、中证500、半导体概念、碳化硅、数据中心、光伏概念、英伟达概念、小米汽车、人形机器人、比亚迪概念、创业板综、半导体硅片、汽车芯片、特斯拉概念,4.460,138.00,129.26,6.70,0.92,3632.05万,48.51,7.7490,746.83亿,745.17亿
93,301511,德福科技,152.55,5.94,A股,德福科技,2.80,58.35亿,57.03亿,电力设备-电池-锂电池,电力设备-电池-锂电池,专精特新、中盘股、5G概念、新能源车、深成500、存储芯片、柔性屏、宁德时代概念、先进制造风格、华为概念、电池技术、消费电子概念、固态电池、CPO概念、军工、融资融券、2025年报扭亏、深股通、无人机、中盘成长、养老金、锂电铜箔、PET铜箔、PCB、锂电池概念、华为数字能源、比亚迪概念、创业板综、固态铜箔、PCB铜箔、MiniLED,8.550,155.56,140.33,10.25,0.88,3841.22万,163.28,23.4837,961.56亿,571.50亿
94,600909,华安证券,12.05,4.69,A股,华安证券,10.04,58.25亿,64.54亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,题材股、中盘股、融资融券、昨日高振幅、参股期货、近期新高、昨日首板、上证380、中证500、沪股通、券商概念、标准普尔、最近多板、东方财富热股、趋势股、互联网金融、央国企改革、百日新高 、富时罗素、金融地产风格、MSCI中国、安徽三资改革,0.540,12.65,11.27,10.96,1.46,5.51亿,34.93,2.2950,605.42亿,605.42亿
95,000100,TCL科技,5.34,10.10,A股,TCL科技,0.00,57.02亿,119.02亿,电子-光学光电子-面板,电子-光学光电子-面板,屏下摄像、国产芯片、粤港澳大湾区、周期股、电子纸概念、深证100R、AIPC、证金持股、工业互联、标准普尔、深成500、柔性屏、AI芯片、华为概念、小米概念、消费电子概念、HS300_、MicroLED、超级品牌、OLED、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、AI眼镜、显示技术、深股通、虚拟现实、绿色电力、硅能源、半导体概念、大盘股、PCB、光伏概念、比亚迪概念、参股银行、MiniLED,0.490,5.34,5.02,11.80,1.46,22.58亿,17.84,1.8265,1110.77亿,1021.65亿
96,002484,江海股份,111.02,10.00,A股,江海股份,6.80,56.29亿,23.23亿,电子-元件-被动元件,电子-元件-被动元件,军工、中盘股、5G概念、融资融券、东数西算、昨日高振幅、深股通、新能源车、中盘成长、深成500、华为概念、被动元件概念、通信技术、趋势股、人形机器人、可控核聚变、ETC、央国企改革、石墨烯、超级电容、科技风格、电源电缆、富时罗素、机器人概念,10.090,111.02,104.02,2.60,0.37,2133.64万,145.71,15.2135,944.25亿,910.89亿
97,300319,麦捷科技,30.08,-3.34,A股,麦捷科技,-2.84,56.13亿,53.50亿,电子-元件-被动元件,电子-元件-被动元件,国产芯片、粤港澳大湾区、5G概念、东数西算、新能源车、深圳特区、存储芯片、华为概念、小米概念、通信技术、昨日高换手、趋势股、消费电子概念、智能穿戴、深圳国企改革、央国企改革、摩尔链、CPO概念、富时罗素、物联网、阿里概念、机器人概念、融资融券、AI眼镜、充电桩、深股通、算力概念、无人机、被动元件概念、小盘股、英伟达概念、人形机器人、比亚迪概念、创业板综、小盘成长、汽车电子,-1.040,31.66,29.51,20.68,0.88,1.76亿,141.57,5.5221,266.99亿,256.06亿
98,002916,深南电路,455.00,5.35,A股,深南电路,1.38,55.80亿,60.68亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、深证100R、国家大基金持股、新能源车、存储芯片、标准普尔、深圳特区、深成500、华为概念、通信技术、HS300_、大盘成长、央国企改革、科技风格、富时罗素、富士康概念、2025年报预增、MSCI中国、融资融券、深股通、养老金、大盘股、苹果概念、先进封装、PCB、数据中心、中特估、服务器PCB、汽车电子、通信PCB,23.100,459.90,425.19,2.04,0.87,1357.73万,91.13,18.8343,3099.31亿,3024.88亿
99,688126,沪硅产业,33.31,2.27,A股,沪硅产业,1.09,55.79亿,68.75亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、融资融券、上证180_、国家大基金持股、贬值受益、沪股通、半导体概念、存储芯片、大盘股、趋势股、HS300_、中芯概念、科技风格、半导体硅片、MSCI中国,0.740,34.18,31.69,7.30,0.98,2.07亿,-56.97,6.5401,1100.90亿,946.70亿
100,002415,海康威视,34.44,1.20,A股,海康威视,8.34,55.43亿,51.14亿,计算机-计算机设备-安防设备,计算机-计算机设备-安防设备,国产芯片、多模态AI、深证100R、乡村振兴、存储芯片、深成500、新型工业化、AI应用、边缘计算、无人驾驶、央视50_、物联网、机器人概念、智慧政务、融资融券、行业龙头、无人机、超清视频、车载摄像头、生物识别、光纤概念、长江三角、大数据、昨日高振幅、证金持股、车联网、足球概念、工业互联、数字乡村、标准普尔、HS300_、央国企改革、智能家居、人工智能、科技风格、MSCI中国、人脸识别、云计算、数据安全、安防概念、权重股、深股通、虚拟现实、智慧城市、大盘股、养老概念、机器视觉、茅指数、中特估、汽车电子,0.410,35.54,33.84,1.63,1.50,1.48亿,28.37,3.9858,3156.38亿,3115.58亿
