序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.23,成交额(元) 2026.06.23,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
82,600160,巨化股份,50.95,0.30,A股,-3.46,67.34亿,51.07亿,基础化工-化学制品-氟化工,巨化股份,基础化工-化学制品-氟化工,国产芯片、数据中心液冷、六氟磷酸锂、周期股、化工原料、上证180_、冷却液、标准普尔、创投、电池技术、趋势股、消毒剂、HS300_、中芯概念、央国企改革、PVDF概念、富时罗素、2025年报预增、MSCI中国、融资融券、液冷概念、沪股通、绿色电力、半导体概念、大盘股、碳交易、数据中心、氟化工概念、工业气体、锂电池概念、煤化工概念、氢氟酸、长江三角、风能,0.150,52.46,49.67,3.71,0.76,1.00亿,29.32,6.6814,1375.52亿,1375.52亿
83,300666,江丰电子,354.78,7.51,A股,-5.16,66.87亿,95.01亿,电子-半导体-半导体材料,江丰电子,电子-半导体-半导体材料,国产芯片、中盘股、共同富裕示范区、昨日高振幅、第三代半导体、存储芯片、深成500、华为概念、东方财富热股、趋势股、中芯概念、百日新高 、光刻机/胶、碳纤维、OLED、科技风格、富时罗素、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、光伏概念、新材料、历史新高 、海峡两岸、创业板综、中韩自贸区,24.780,366.65,324.48,12.32,1.11,2724.93万,116.70,14.0140,979.09亿,784.47亿
84,600497,驰宏锌锗,12.54,1.87,A股,-2.74,66.76亿,56.07亿,有色金属-工业金属-铅锌,驰宏锌锗,有色金属-工业金属-铅锌,军工、题材股、锌矿、中盘股、稀缺资源、融资融券、西部大开发、昨日高振幅、铅矿、上证380、中证500、沪股通、金属回收、东方财富热股、金属锌、新材料、光纤概念、央国企改革、金属铅、小金属概念、MSCI中国、黄金概念,0.230,13.22,11.97,8.79,1.06,4.43亿,23.87,3.7538,632.06亿,632.06亿
85,300570,太辰光,234.10,-9.37,A股,-5.93,66.58亿,77.86亿,通信-通信设备-通信网络设备及器件,太辰光,通信-通信设备-通信网络设备及器件,国产芯片、中盘股、5G概念、融资融券、深股通、算力概念、贬值受益、光通信模块、中盘成长、中证500、F5G概念、深圳特区、深成500、铜缆高速连接、MPO连接器、通信技术、数据中心、光纤概念、CPO概念、创业板综、物联网、传感器,-24.210,245.00,225.00,17.37,1.19,3338.34万,202.08,30.0572,531.70亿,449.92亿
86,002916,深南电路,433.50,-4.73,A股,-6.85,66.39亿,48.67亿,电子-元件-印制电路板,深南电路,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、深证100R、昨日高振幅、国家大基金持股、新能源车、存储芯片、标准普尔、深圳特区、深成500、华为概念、通信技术、HS300_、大盘成长、央国企改革、科技风格、富时罗素、富士康概念、2025年报预增、MSCI中国、融资融券、深股通、养老金、大盘股、苹果概念、先进封装、PCB、数据中心、中特估、服务器PCB、汽车电子、通信PCB,-21.500,448.80,420.47,1.68,0.71,1119.99万,86.83,17.9443,2952.86亿,2881.95亿
87,300014,亿纬锂能,62.21,-6.89,A股,-4.20,66.27亿,59.34亿,电力设备-电池-锂电池,亿纬锂能,电力设备-电池-锂电池,钠离子电池、粤港澳大湾区、胎压监测、周期股、深证100R、电子烟、新能源车、深成500、先进制造风格、华为概念、小米概念、长安汽车概念、消费电子概念、电池技术、HS300_、固态电池、储能概念、盐湖提锂、富时罗素、MSCI中国、脑机接口、机器人概念、动力电池回收、安防概念、宁组合、低空经济、融资融券、充电桩、深股通、无人机、两轮车、商业航天、大盘股、硫化物、氢能源、人形机器人、锂电池概念、茅指数、智能电网、创业板综、锂矿概念、无线耳机、飞行汽车,-4.600,67.53,62.10,4.39,0.90,9264.11万,23.37,2.8078,1352.01亿,1314.18亿
88,601208,东材科技,73.65,-5.07,A股,-10.00,66.07亿,56.86亿,基础化工-塑料-膜材料,东材科技,基础化工-塑料-膜材料,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、新能源车、燃料电池概念、柔性屏、通信技术、电池技术、趋势股、消费电子概念、光刻机/胶、OLED、2025年报预增、MLCC、树脂、电网概念、军工、BC电池、6G概念、融资融券、中盘成长、沪股通、商业航天、半导体概念、特高压、苹果概念、PET铜箔、PCB、光伏概念、氢能源、股权激励,-3.930,76.00,70.40,7.65,0.89,7726.84万,99.55,12.2211,744.00亿,744.00亿
89,600667,太极实业,26.88,6.20,A股,-7.31,65.73亿,144.89亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,太极实业,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,国产芯片、昨日高振幅、存储芯片、标准普尔、工程建设、东方财富热股、昨日高换手、趋势股、央国企改革、百日新高 、OLED、富时罗素、题材股、融资融券、近期新高、昨日触板、上证380、沪股通、绿色电力、半导体概念、先进封装、数据中心、光伏概念、小盘股、历史新高 、昨日炸板、小盘成长、昨日打二板以上表现、长江三角、光伏建筑一体化,1.570,27.84,26.20,25.24,2.00,5.28亿,108.85,6.5321,562.21亿,562.21亿
90,300319,麦捷科技,31.00,3.06,A股,1.26,65.10亿,59.78亿,电子-元件-被动元件,麦捷科技,电子-元件-被动元件,国产芯片、粤港澳大湾区、5G概念、东数西算、新能源车、深圳特区、存储芯片、华为概念、小米概念、通信技术、昨日高换手、趋势股、智能穿戴、消费电子概念、深圳国企改革、央国企改革、CPO概念、摩尔链、富时罗素、物联网、阿里概念、机器人概念、融资融券、AI眼镜、充电桩、深股通、算力概念、无人机、被动元件概念、小盘股、英伟达概念、人形机器人、比亚迪概念、创业板综、小盘成长、汽车电子,0.920,33.30,30.59,21.92,0.93,1.87亿,145.90,5.6910,275.15亿,263.89亿
91,002709,天赐材料,50.01,-9.40,A股,-3.36,64.94亿,60.39亿,电力设备-电池-电池化学品,天赐材料,电力设备-电池-电池化学品,钠离子电池、六氟磷酸锂、周期股、深证100R、昨日高振幅、新能源车、标准普尔、深成500、宁德时代概念、先进制造风格、电池技术、HS300_、固态电池、富时罗素、2025年报预增、PEEK材料概念、MSCI中国、动力电池回收、融资融券、深股通、大盘股、氟化工概念、氢能源、硫化物、新材料、锂电池概念、比亚迪概念、有机硅概念、大盘价值、氢氟酸、特斯拉概念,-5.190,55.95,49.96,7.56,0.92,1.14亿,15.41,5.5189,1019.48亿,754.66亿
92,688766,普冉股份,727.01,-3.60,A股,4.88,64.58亿,66.51亿,电子-半导体-数字芯片设计,普冉股份,电子-半导体-数字芯片设计,国产芯片、中盘股、融资融券、中盘成长、沪股通、半导体概念、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、智能家居、科技风格、汽车芯片、MCU芯片、物联网、无线耳机、汽车电子,-27.140,794.15,719.71,5.96,0.95,886.72万,107.63,40.1197,1081.09亿,1081.09亿
93,601318,中国平安,47.23,-4.20,A股,-3.04,62.34亿,68.24亿,非银金融-保险Ⅱ-保险Ⅲ,中国平安,非银金融-保险Ⅱ-保险Ⅲ,区块链、周期股、上证180_、证金持股、互联网保险、标准普尔、深圳特区、红利破净股、HS300_、互联网金融、独角兽、央视50_、富时罗素、金融地产风格、MSCI中国、互联医疗、红利股、权重股、融资融券、家庭医生、沪股通、参股券商、大盘股、养老概念、IPO受益、上证50_、大盘价值、智能医疗、参股银行,-2.070,49.49,47.20,1.34,0.96,1.43亿,8.54,0.8668,8552.24亿,5034.75亿
94,601958,金钼股份,27.13,0.82,A股,-8.76,60.85亿,35.85亿,有色金属-小金属-钼,金钼股份,有色金属-小金属-钼,军工、中盘股、稀缺资源、融资融券、西部大开发、昨日高振幅、上证380、中证500、沪股通、标准普尔、陕西国企改革、央国企改革、OLED、小金属概念、富时罗素、MSCI中国,0.220,28.43,26.10,4.06,0.74,1.31亿,24.27,4.4195,875.38亿,875.38亿
95,002851,麦格米特,160.76,-6.52,A股,-8.34,60.78亿,87.00亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,麦格米特,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,国产芯片、中盘股、昨日高振幅、HVDC供电、高压快充、新能源车、车联网、第三代半导体、标准普尔、深圳特区、深成500、柔性屏、新型工业化、先进制造风格、小米概念、长安汽车概念、储能概念、智能家居、中国AI 50、超级电容、富时罗素、MSCI中国、机器人概念、融资融券、医疗器械概念、充电桩、深股通、中盘成长、2025年报预减、中证500、碳化硅、数据中心、英伟达概念、光伏概念、玻璃基板、一带一路、智能电网、高端装备、高铁、风能,-11.220,175.66,154.83,11.69,1.55,5355.46万,203.88,10.4230,935.28亿,736.69亿
96,600378,昊华科技,62.30,-8.92,A股,-5.53,60.21亿,51.04亿,基础化工-化学制品-氟化工,昊华科技,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、西部大开发、昨日高振幅、页岩气、燃料电池概念、新能源车、电池技术、成渝特区、固态电池、中芯概念、2026一季报预增、央国企改革、磷化工、PVDF概念、富时罗素、电子特气、航母概念、军工、大飞机、融资融券、液冷概念、俄乌冲突概念、上证380、中证500、养老金、沪股通、商业航天、氦气概念、碳交易、PCB、氟化工概念、氢能源、工业气体、锂电池概念、煤化工概念、氢氟酸、股权激励、碳中和,-6.100,69.12,61.56,7.33,0.88,7860.73万,65.23,4.4461,803.67亿,668.21亿
97,300395,菲利华,139.96,4.80,A股,-7.88,59.30亿,93.61亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,菲利华,国防军工-航空装备Ⅱ-航空装备Ⅲ,国产芯片、中盘股、5G概念、融资融券、深股通、中盘成长、中证500、电子布、半导体概念、深成500、PCB、先进制造风格、军民融合、通信技术、光伏概念、新材料、光纤概念、创业板综、OLED、富时罗素、2025年报预增、MSCI中国,6.410,144.20,129.17,13.18,1.60,6756.98万,127.99,15.3893,735.81亿,717.36亿
98,002491,通鼎互联,36.15,-6.10,A股,-0.94,59.19亿,67.13亿,通信-通信设备-通信线缆及配套,通鼎互联,通信-通信设备-通信线缆及配套,题材股、光纤光缆、数据安全、专精特新、5G概念、融资融券、数字水印、昨日高振幅、北交所概念、深股通、光通信模块、标准普尔、网络安全、通信技术、数据中心、小盘股、昨日高换手、趋势股、固态电池、光纤概念、独角兽、富时罗素、长江三角、大数据,-2.350,38.11,34.65,15.88,1.23,1.87亿,216.80,17.6423,444.64亿,425.29亿
99,002409,雅克科技,188.60,4.18,A股,-4.76,56.50亿,66.81亿,电子-半导体-半导体材料,雅克科技,电子-半导体-半导体材料,国产芯片、专精特新、中盘股、海工装备、昨日高振幅、国家大基金持股、存储芯片、标准普尔、深成500、东方财富热股、中芯概念、高带宽内存、光刻机/胶、百日新高 、磷化工、OLED、富时罗素、电子特气、天然气、MSCI中国、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、特高压、先进封装、氟化工概念、历史新高 、工业气体,7.570,195.20,178.20,11.18,1.02,3559.78万,84.14,11.2854,897.60亿,600.73亿
100,603259,药明康德,118.18,0.82,A股,-0.49,56.48亿,81.35亿,医药生物-医疗服务-医疗研发外包,药明康德,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、创新医疗服务、宁组合、权重股、融资融券、行业龙头、上证180_、贬值受益、沪股通、标准普尔、大盘股、医药医疗风格、HS300_、上证50_、茅指数、独角兽、富时罗素、创新药、2025年报预增、MSCI中国,0.960,121.07,116.96,2.77,0.97,6849.42万,18.95,4.4349,3526.20亿,2922.92亿
